t,u
0.0,1.0
0.1,1.030454533953517
0.2,1.0618365465453596
0.3,1.0941742837052104
0.4,1.1274968515793757
0.5,1.161834242728283
0.6,1.1972173631218102
0.7,1.2336780599567432
0.8,1.2712491503214047
0.9,1.3099644507332473
1.0,1.3498588075760032
1.1,1.3909681284637803
1.2,1.4333294145603401
1.3,1.4769807938826427
1.4,1.5219615556186337
1.5,1.5683121854901687
1.6,1.6160744021928934
1.7,1.6652911949458864
1.8,1.7160068621848585
1.9,1.768267051433735
2.0,1.8221188003905089
2.1,1.8776105792643432
2.2,1.9347923344020317
2.3,1.9937155332430823
2.4,2.0544332106438876
2.5,2.117000016612675
2.6,2.181472265498201
2.7,2.2479079866764717
2.8,2.3163669767810915
2.9,2.3869108535242765
3.0,2.4596031111569494
3.1,2.5345091776178545
3.2,2.611696473423118
3.3,2.691234472349262
3.4,2.7731947639642978
3.5,2.857651118063164
3.6,2.944679551065524
3.7,3.034358394435676
3.8,3.1267683651861553
3.9,3.2219926385284996
4.0,3.3201169227365472
4.1,3.421229536289673
4.2,3.5254214873653824
4.3,3.6327865557528085
4.4,3.7434213772608627
4.5,3.857425530696974
4.6,3.9749016274947477
4.7,4.095955404071176
4.8,4.220695816996552
4.9,4.349235141062741
5.0,4.4816890703380645
5.1,4.61817682229978
5.2,4.758821245137854
5.3,4.903748928326621
5.4,5.053090316563868
5.5,5.206979827179849
5.6,5.3655559711219745
5.7,5.528961477624004
5.8,5.697343422671991
5.9,5.8708533613826015
6.0,6.049647464412945
6.1,6.233886658524717
6.2,6.423736771429133
6.3,6.619368681043077
6.4,6.8209584692907494
6.5,7.028687580589293
6.6,7.24274298516101
6.7,7.463317347319193
6.8,7.690609198878998
6.9,7.924823117849487
7.0,8.16616991256765
7.1,8.41486681144013
7.2,8.671137658463456
7.3,8.93521311469875
7.4,9.207330865882252
7.5,9.487735836358526
7.6,9.776680409528904
7.7,10.074424655013587
7.8,10.381236562731843
7.9,10.697392284111054
8.0,11.023176380641601
8.1,11.358882080001454
8.2,11.704811539980849
8.3,12.06127612044472
8.4,12.428596663577544
8.5,12.80710378266303
8.6,13.197138159658353
8.7,13.599050851830924
8.8,14.013203607733615
8.9,14.43996919280288
9.0,14.87973172487283
9.1,15.332887019907195
9.2,15.799842948260395
9.3,16.28101980178843
9.4,16.776850672139872
9.5,17.28778184056764
9.6,17.814273179612197
9.7,18.35679856701792
9.8,18.915846312255038
9.9,19.49191959603112
10.0,20.085536923187668
