step,white,black,temperature
1,230,211,21.964444444444446
2,263,233,21.88
3,287,270,21.746666666666666
4,305,284,21.67111111111111
5,324,302,21.57777777777778
6,339,319,21.48
7,342,326,21.391111111111112
8,349,330,21.32
9,360,336,21.235555555555557
10,360,339,21.128888888888888
11,355,341,21.035555555555554
12,354,344,20.973333333333333
13,350,344,20.92888888888889
14,354,339,20.90222222222222
15,353,340,20.835555555555555
16,349,337,20.77777777777778
17,342,333,20.724444444444444
18,339,332,20.684444444444445
19,326,331,20.653333333333332
20,324,324,20.675555555555555
21,318,319,20.675555555555555
22,315,315,20.68
23,313,309,20.68
24,309,307,20.662222222222223
25,305,307,20.653333333333332
26,301,301,20.662222222222223
27,296,295,20.662222222222223
28,293,294,20.657777777777778
29,291,287,20.662222222222223
30,290,283,20.644444444444446
31,284,282,20.613333333333333
32,280,279,20.604444444444443
33,275,272,20.6
34,271,269,20.586666666666666
35,268,268,20.57777777777778
36,262,260,20.57777777777778
37,259,255,20.56888888888889
38,253,250,20.551111111111112
39,251,248,20.537777777777777
40,243,246,20.524444444444445
